time,tx,ty,tz,rx,ry,rz,rw
1539699449,0.28991097628,0.0210016372118,-0.009999999947,0.0,0.0,0.324707910046,0.945814341112
1539699450,0.423486634926,0.120040490723,-0.00999999978421,0.0,0.0,0.313557855397,0.949569086344
1539699451,0.561993455573,0.217073321749,-0.00999999983734,0.0,0.0,0.305158915825,0.95230143328
1539699452,0.69634262739,0.319284827424,-0.00999999981462,0.0,0.0,0.382887488377,0.923794973307
1539699453,0.770179436226,0.431572930641,-0.0100000003909,0.0,0.0,0.580107215344,0.814540151127
1539699454,0.776731777543,0.576932735904,-0.0100000001828,0.0,0.0,0.76985590404,0.638217756959
1539699455,0.712786387536,0.710957051132,-0.00999999992386,0.0,0.0,0.899781997652,0.436339717523
1539699456,0.601387737846,0.82618702247,-0.0100000000552,0.0,0.0,0.919268013104,0.393632221242
1539699457,0.483952774166,0.938463788751,-0.00999999982455,0.0,0.0,-0.943287728589,-0.331976269555
1539699458,0.348973062504,1.04067441933,-0.00999999975303,0.0,0.0,-0.961590224098,-0.274489009295
1539699459,0.197164024135,1.10378898028,-0.00999999985323,0.0,0.0,-0.99328309644,-0.115709444943
1539699460,0.0314945942407,1.1279344771,-0.0100000005263,0.0,0.0,-0.999317153118,-0.0369496970446
1539699461,-0.114909945606,1.10367050714,-0.0100000000611,0.0,0.0,-0.98457039025,0.17498900753
1539699462,-0.204641710197,1.02007520761,-0.00999999968391,0.0,0.0,-0.863244502757,0.50478599114
1539699463,-0.173343688592,0.965025289778,-0.0100000004156,0.0,0.0,-0.489172384974,0.872187146967
1539699464,-0.0996567089982,0.926121122747,-0.0100000000574,0.0,0.0,-0.034256340504,0.9994130822
1539699465,0.0557336317904,0.95697378976,-0.00999999986733,0.0,0.0,0.136290074262,0.990668967108
1539699466,0.219913513136,0.995140695468,-0.00999999966136,0.0,0.0,0.0935078774195,0.995618522827
1539699467,0.387441978811,1.01562747095,-0.0100000001802,0.0,0.0,0.0217698271146,0.999763018242
1539699468,0.554889587232,1.00024410512,-0.0099999998069,0.0,0.0,-0.0696044012121,0.997574662881
1539699469,0.693217616124,0.937884591277,-0.0100000001992,0.0,0.0,-0.276372816435,0.961050511815
1539699470,0.774323749113,0.828353173605,-0.00999999984254,0.0,0.0,-0.594435890502,0.804142994956
1539699471,0.795550252486,0.644768476497,-0.0100000001089,0.0,0.0,-0.658998963938,0.752143853539
